heading pitch roll
Heading: 99.9, Pitch: -1.4, Roll: 1.3
Heading: 99.9, Pitch: -1.6, Roll: 1.3
Heading: 99.9, Pitch: -1.6, Roll: 1.3
Heading: 99.4, Pitch: -1.5, Roll: 1.3
Heading: 99.4, Pitch: -1.5, Roll: 1.3
Heading: 98.6, Pitch: -1.6, Roll: 1.5
Heading: 98.6, Pitch: -1.6, Roll: 1.5
Heading: 98.6, Pitch: -2, Roll: 1.5
Heading: 98.6, Pitch: -2, Roll: 1.5
Heading: 98.3, Pitch: -1.3, Roll: 1.4
Heading: 98.3, Pitch: -1.3, Roll: 1.4
Heading: 98, Pitch: -1.6, Roll: 1.2
Heading: 98, Pitch: -1.6, Roll: 1.2
Heading: 97.5, Pitch: -1.4, Roll: 1.5
Heading: 97.5, Pitch: -1.4, Roll: 1.5
Heading: 97.6, Pitch: -1.3, Roll: 1.3
Heading: 97.6, Pitch: -1.3, Roll: 1.3
Heading: 98.4, Pitch: -1.6, Roll: 1.4
Heading: 98.4, Pitch: -1.6, Roll: 1.4
Heading: 98.5, Pitch: -1.8, Roll: 1.6
Heading: 98.5, Pitch: -1.8, Roll: 1.6
Heading: 98.5, Pitch: -1.7, Roll: 1.9
Heading: 98.5, Pitch: -1.7, Roll: 1.9
Heading: 98.6, Pitch: -1.7, Roll: 1.3
Heading: 98.6, Pitch: -1.7, Roll: 1.3
Heading: 98.3, Pitch: -1.5, Roll: 1.5
Heading: 98.3, Pitch: -1.5, Roll: 1.5
Heading: 98.1, Pitch: -1.3, Roll: 1.6
Heading: 98.1, Pitch: -1.3, Roll: 1.6
Heading: 98.2, Pitch: -1.6, Roll: 1.2
Heading: 98.2, Pitch: -1.6, Roll: 1.2
Heading: 98.1, Pitch: -1.7, Roll: 1.5
Heading: 98.1, Pitch: -1.7, Roll: 1.5
Heading: 98.1, Pitch: -1.6, Roll: 1.5
Heading: 98.1, Pitch: -1.6, Roll: 1.5
Heading: 98.1, Pitch: -1.5, Roll: 1.5
Heading: 98.1, Pitch: -1.5, Roll: 1.5
Heading: 98.2, Pitch: -1.3, Roll: 1.3
Heading: 98.4, Pitch: -1.4, Roll: 1.1
Heading: 98.4, Pitch: -1.4, Roll: 1.1
Heading: 98.3, Pitch: -1.7, Roll: 1.6
Heading: 98.3, Pitch: -1.7, Roll: 1.6
Heading: 98.3, Pitch: -1.5, Roll: 1.3
Heading: 98.3, Pitch: -1.5, Roll: 1.3
Heading: 98.1, Pitch: -1.7, Roll: 1.6
Heading: 98.1, Pitch: -1.7, Roll: 1.6
Heading: 98.2, Pitch: -1.2, Roll: 1
Heading: 98.2, Pitch: -1.2, Roll: 1
Heading: 97.9, Pitch: -1.8, Roll: 1.6
Heading: 97.9, Pitch: -1.8, Roll: 1.6
Heading: 97.6, Pitch: -1.5, Roll: 1.5
Heading: 97.6, Pitch: -1.5, Roll: 1.5
Heading: 97.2, Pitch: -1.6, Roll: 1.3
Heading: 97.2, Pitch: -1.6, Roll: 1.3
Heading: 97.3, Pitch: -1.4, Roll: 1.2
Heading: 97.3, Pitch: -1.4, Roll: 1.2
Heading: 97.9, Pitch: -1.5, Roll: 1.4
Heading: 97.9, Pitch: -1.5, Roll: 1.4
Heading: 98.1, Pitch: -1.5, Roll: 1.2
Heading: 98.1, Pitch: -1.5, Roll: 1.2
Heading: 98.2, Pitch: -1.5, Roll: 1.3
Heading: 98.2, Pitch: -1.5, Roll: 1.3
Heading: 98.6, Pitch: -1.6, Roll: 1.2
Heading: 98.6, Pitch: -1.6, Roll: 1.2
Heading: 98.5, Pitch: -1.4, Roll: 1.3
Heading: 98.5, Pitch: -1.4, Roll: 1.3
Heading: 98.4, Pitch: -1.7, Roll: 1.5
Heading: 98.4, Pitch: -1.7, Roll: 1.5
Heading: 98.4, Pitch: -1.6, Roll: 1.3
Heading: 98.4, Pitch: -1.6, Roll: 1.3
Heading: 98.3, Pitch: -1.5, Roll: 1.7
Heading: 98.3, Pitch: -1.5, Roll: 1.7
Heading: 98.5, Pitch: -1.6, Roll: 1.4
Heading: 98.5, Pitch: -1.6, Roll: 1.4
Heading: 98.5, Pitch: -1.6, Roll: 1.2
Heading: 98.5, Pitch: -1.6, Roll: 1.2
Heading: 98.5, Pitch: -1.8, Roll: 1.5
Heading: 98.5, Pitch: -1.8, Roll: 1.5
Heading: 98.5, Pitch: -1.6, Roll: 1.3
Heading: 98.5, Pitch: -1.6, Roll: 1.3
Heading: 98.6, Pitch: -1.6, Roll: 1.3
Heading: 98.6, Pitch: -1.6, Roll: 1.3
Heading: 98.4, Pitch: -1.5, Roll: 1.2
Heading: 98.4, Pitch: -1.5, Roll: 1.2
Heading: 98.1, Pitch: -1.5, Roll: 1.4
Heading: 98.1, Pitch: -1.5, Roll: 1.4
Heading: 98.1, Pitch: -1.5, Roll: 1.6
Heading: 98.1, Pitch: -1.5, Roll: 1.6
Heading: 98.1, Pitch: -1.6, Roll: 1.3
Heading: 98.1, Pitch: -1.6, Roll: 1.3
Heading: 98.1, Pitch: -1.8, Roll: 1.3
Heading: 98.1, Pitch: -1.8, Roll: 1.3
Heading: 98.1, Pitch: -1.4, Roll: 1.2
Heading: 98.1, Pitch: -1.4, Roll: 1.2
Heading: 97.8, Pitch: -1.2, Roll: 1.3
Heading: 97.8, Pitch: -1.2, Roll: 1.3
Heading: 97.8, Pitch: -1.7, Roll: 1.2
Heading: 97.8, Pitch: -1.7, Roll: 1.2
Heading: 97.6, Pitch: -1.6, Roll: 1.6
Heading: 97.6, Pitch: -1.6, Roll: 1.6
Heading: 97.9, Pitch: -1.6, Roll: 1.1
Heading: 97.9, Pitch: -1.6, Roll: 1.1
Heading: 97.9, Pitch: -1.5, Roll: 1.3
Heading: 97.9, Pitch: -1.5, Roll: 1.3
Heading: 97.8, Pitch: -1.5, Roll: 1.2
Heading: 97.8, Pitch: -1.5, Roll: 1.2
Heading: 98.3, Pitch: -1.4, Roll: 1.4
Heading: 98.3, Pitch: -1.4, Roll: 1.4
Heading: 98.3, Pitch: -1.6, Roll: 1.6
Heading: 98.3, Pitch: -1.6, Roll: 1.6
Heading: 98.8, Pitch: -1.3, Roll: 1.5
Heading: 98.8, Pitch: -1.3, Roll: 1.5
Heading: 99.1, Pitch: -1.6, Roll: 1.2
Heading: 99.1, Pitch: -1.6, Roll: 1.2
Heading: 99, Pitch: -1.5, Roll: 1.4
Heading: 99, Pitch: -1.5, Roll: 1.4
Heading: 99, Pitch: -1.4, Roll: 1.5
Heading: 99, Pitch: -1.4, Roll: 1.5
Heading: 99, Pitch: -1.6, Roll: 1.6
Heading: 99, Pitch: -1.6, Roll: 1.6
Heading: 99, Pitch: -1.8, Roll: 1.4
Heading: 99, Pitch: -1.8, Roll: 1.4
Heading: 99, Pitch: -1.3, Roll: 1.4
Heading: 99, Pitch: -1.5, Roll: 1.5
Heading: 99, Pitch: -1.5, Roll: 1.5
Heading: 99.1, Pitch: -1.5, Roll: 1.3
Heading: 99.1, Pitch: -1.5, Roll: 1.3
Heading: 98.9, Pitch: -1.2, Roll: 1.5
Heading: 98.9, Pitch: -1.2, Roll: 1.5
Heading: 99, Pitch: -1.6, Roll: 1.5
Heading: 99, Pitch: -1.6, Roll: 1.5
Heading: 99.1, Pitch: -1.6, Roll: 1.3
Heading: 99.1, Pitch: -1.6, Roll: 1.3
Heading: 99, Pitch: -1.7, Roll: 1.6
Heading: 99, Pitch: -1.7, Roll: 1.6
Heading: 99.2, Pitch: -1.4, Roll: 1.3
Heading: 99.2, Pitch: -1.4, Roll: 1.3
Heading: 99.3, Pitch: -1.5, Roll: 1.4
Heading: 99.3, Pitch: -1.5, Roll: 1.4
Heading: 99.2, Pitch: -1.6, Roll: 1.4
Heading: 99.2, Pitch: -1.6, Roll: 1.4
Heading: 99.5, Pitch: -1.5, Roll: 1.5
Heading: 99.5, Pitch: -1.5, Roll: 1.5
Heading: 99.9, Pitch: -1.6, Roll: 1.3
Heading: 99.9, Pitch: -1.6, Roll: 1.3
Heading: 99.8, Pitch: -1.6, Roll: 1.4
Heading: 99.8, Pitch: -1.6, Roll: 1.4
Heading: 99.8, Pitch: -1.5, Roll: 1.5
Heading: 99.8, Pitch: -1.5, Roll: 1.5
Heading: 100, Pitch: -1.6, Roll: 1.5
Heading: 100, Pitch: -1.6, Roll: 1.5
Heading: 100.1, Pitch: -1.8, Roll: 1.6
Heading: 100.1, Pitch: -1.8, Roll: 1.6
Heading: 100.4, Pitch: -1.2, Roll: 1
Heading: 100.4, Pitch: -1.2, Roll: 1
Heading: 100.1, Pitch: -1.6, Roll: 1.7
Heading: 100.1, Pitch: -1.6, Roll: 1.7
Heading: 100.2, Pitch: -1.6, Roll: 1.3
Heading: 100.2, Pitch: -1.6, Roll: 1.3
Heading: 100.3, Pitch: -2, Roll: 1.5
Heading: 100.3, Pitch: -2, Roll: 1.5
Heading: 100.8, Pitch: -1.8, Roll: 1
Heading: 100.8, Pitch: -1.8, Roll: 1
Heading: 100.5, Pitch: -1.4, Roll: 1.6
Heading: 100.5, Pitch: -1.4, Roll: 1.6
Heading: 100.6, Pitch: -1.2, Roll: 1.3
Heading: 100.6, Pitch: -1.2, Roll: 1.3
Heading: 100.5, Pitch: -1.4, Roll: 1.5
Heading: 100.5, Pitch: -1.4, Roll: 1.5
Heading: 100.6, Pitch: -1.5, Roll: 1.2
Heading: 100.6, Pitch: -1.5, Roll: 1.2
Heading: 100.5, Pitch: -1.7, Roll: 1.5
Heading: 100.5, Pitch: -1.7, Roll: 1.5
Heading: 100.5, Pitch: -1.3, Roll: 1.5
Heading: 100.5, Pitch: -1.3, Roll: 1.5
Heading: 100.6, Pitch: -1.7, Roll: 1.4
Heading: 100.6, Pitch: -1.7, Roll: 1.4
Heading: 100.5, Pitch: -1.5, Roll: 1.4
Heading: 100.5, Pitch: -1.5, Roll: 1.4
Heading: 100.5, Pitch: -1.5, Roll: 1.4
Heading: 100.5, Pitch: -1.5, Roll: 1.4
Heading: 100.5, Pitch: -1.6, Roll: 1.4
Heading: 100.5, Pitch: -1.6, Roll: 1.4
Heading: 100.5, Pitch: -1.2, Roll: 1.5
Heading: 100.5, Pitch: -1.2, Roll: 1.5
Heading: 100.6, Pitch: -1.6, Roll: 1.3
Heading: 100.6, Pitch: -1.6, Roll: 1.3
