Port: /dev/ttyACM0
Baud: 115200
Is the serial port open? Yes.
Heading: 19.8, Pitch: -1.1, Roll: 1.3
First byte not start byte, discard it...
First byte not start byte, discard it...
First byte not start byte, discard it...
First byte not start byte, discard it...
Heading: 19.9, Pitch: -1.1, Roll: 1.8
Heading: 19.9, Pitch: -1.1, Roll: 1.8
Heading: 21.2, Pitch: -0.7, Roll: 1.3
Heading: 21.2, Pitch: -0.7, Roll: 1.3
Heading: 21.2, Pitch: -0.7, Roll: 1.7
Heading: 21.2, Pitch: -0.7, Roll: 1.7
Heading: 20.7, Pitch: -1, Roll: 1.5
Heading: 20.7, Pitch: -1, Roll: 1.5
Heading: 21.3, Pitch: -0.5, Roll: 1.1
Heading: 21.3, Pitch: -0.5, Roll: 1.1
Heading: 20.4, Pitch: -1.3, Roll: 1.1
Heading: 20.4, Pitch: -1.3, Roll: 1.1
Heading: 20.9, Pitch: -0.6, Roll: 1.5
Heading: 20.9, Pitch: -0.6, Roll: 1.5
Heading: 20.5, Pitch: -0.9, Roll: 1.5
Heading: 20.5, Pitch: -0.9, Roll: 1.5
Heading: 20.9, Pitch: -0.7, Roll: 1.3
Heading: 20.9, Pitch: -0.7, Roll: 1.3
Heading: 20.6, Pitch: -1, Roll: 1.6
Heading: 20.6, Pitch: -1, Roll: 1.6
Heading: 21.1, Pitch: -0.6, Roll: 1.5
Heading: 21.1, Pitch: -0.6, Roll: 1.5
Heading: 20.9, Pitch: -0.8, Roll: 1.5
Heading: 20.9, Pitch: -0.8, Roll: 1.5
Heading: 21.2, Pitch: -0.8, Roll: 1.3
Heading: 21.2, Pitch: -0.8, Roll: 1.3
Heading: 21.1, Pitch: -1, Roll: 1.2
Heading: 21.1, Pitch: -1, Roll: 1.2
Heading: 21.4, Pitch: -0.8, Roll: 1.5
Heading: 21.4, Pitch: -0.8, Roll: 1.5
Heading: 21.3, Pitch: -0.9, Roll: 1.5
Heading: 21.3, Pitch: -0.9, Roll: 1.5
Heading: 21.4, Pitch: -1, Roll: 1.4
Heading: 21.4, Pitch: -1, Roll: 1.4
Heading: 21.1, Pitch: -0.8, Roll: 1.4
Heading: 21.1, Pitch: -0.8, Roll: 1.4
Heading: 21.6, Pitch: -0.9, Roll: 1.2
Heading: 21.6, Pitch: -0.9, Roll: 1.2
Heading: 21.9, Pitch: -1, Roll: 1.5
Heading: 21.9, Pitch: -1, Roll: 1.5
Heading: 21.8, Pitch: -0.9, Roll: 1.4
Heading: 21.8, Pitch: -0.9, Roll: 1.4
Heading: 22, Pitch: -0.9, Roll: 1.3
Heading: 22, Pitch: -0.9, Roll: 1.3
Heading: 21.5, Pitch: -0.9, Roll: 1.5
Heading: 21.5, Pitch: -0.9, Roll: 1.5
Heading: 22.3, Pitch: -0.8, Roll: 1.5
Heading: 22.3, Pitch: -0.8, Roll: 1.5
Heading: 22.7, Pitch: -0.8, Roll: 1.2
Heading: 22.7, Pitch: -0.8, Roll: 1.2
Heading: 22.5, Pitch: -1, Roll: 1.3
Heading: 22.5, Pitch: -1, Roll: 1.3
Heading: 22.3, Pitch: -0.7, Roll: 1.5
Heading: 22.3, Pitch: -0.7, Roll: 1.5
Heading: 22.4, Pitch: -1, Roll: 1.5
Heading: 22.4, Pitch: -1, Roll: 1.5
Heading: 22.5, Pitch: -0.7, Roll: 1.2
Heading: 22.5, Pitch: -0.7, Roll: 1.2
Heading: 22.2, Pitch: -1, Roll: 1.5
Heading: 22.2, Pitch: -1, Roll: 1.5
Heading: 21.9, Pitch: -0.8, Roll: 1.4
Heading: 21.9, Pitch: -0.8, Roll: 1.4
Heading: 22.8, Pitch: -1.1, Roll: 1.4
Heading: 22.8, Pitch: -1.1, Roll: 1.4
Heading: 22.7, Pitch: -0.8, Roll: 1.5
Heading: 22.7, Pitch: -0.8, Roll: 1.5
Heading: 23.1, Pitch: -0.8, Roll: 1.4
Heading: 23.1, Pitch: -0.8, Roll: 1.4
Heading: 22.8, Pitch: 0.1, Roll: 4.1
Heading: 22.8, Pitch: 0.1, Roll: 4.1
Heading: 16.7, Pitch: -5.4, Roll: 8.8
Heading: 16.7, Pitch: -5.4, Roll: 8.8
Heading: 23.7, Pitch: -1.4, Roll: -1.1
Heading: 23.7, Pitch: -1.4, Roll: -1.1
Heading: 26.8, Pitch: 0.1, Roll: 0.9
Heading: 32.7, Pitch: -7.4, Roll: 3.2
Heading: 32.7, Pitch: -7.4, Roll: 3.2
Heading: 45.2, Pitch: -0.3, Roll: 6.2
Heading: 45.2, Pitch: -0.3, Roll: 6.2
Heading: 53, Pitch: -3.9, Roll: 6.6
Heading: 53, Pitch: -3.9, Roll: 6.6
Heading: 65.3, Pitch: -2.6, Roll: 5.6
Heading: 65.3, Pitch: -2.6, Roll: 5.6
Heading: 78.6, Pitch: -2.9, Roll: 3.3
Heading: 78.6, Pitch: -2.9, Roll: 3.3
Heading: 89, Pitch: 0.5, Roll: 8.4
Heading: 89, Pitch: 0.5, Roll: 8.4
Heading: 96.8, Pitch: 0.7, Roll: 10.6
Heading: 96.8, Pitch: 0.7, Roll: 10.6
Heading: 103.7, Pitch: 2.7, Roll: 9.8
Heading: 103.7, Pitch: 2.7, Roll: 9.8
Heading: 114.5, Pitch: 5.9, Roll: 8.4
Heading: 114.5, Pitch: 5.9, Roll: 8.4
Heading: 126.5, Pitch: 13.7, Roll: 4.1
Heading: 126.5, Pitch: 13.7, Roll: 4.1
Heading: 134.4, Pitch: 10.8, Roll: 6.4
Heading: 134.4, Pitch: 10.8, Roll: 6.4
Heading: 139.7, Pitch: 8.2, Roll: 4.9
Heading: 139.7, Pitch: 8.2, Roll: 4.9
Heading: 141.7, Pitch: 9.2, Roll: 10.6
Heading: 141.7, Pitch: 9.2, Roll: 10.6
Heading: 142.8, Pitch: 0, Roll: 8.1
Heading: 142.8, Pitch: 0, Roll: 8.1
Heading: 142.2, Pitch: 12.5, Roll: 7.8
Heading: 142.2, Pitch: 12.5, Roll: 7.8
Heading: 138.2, Pitch: 10.1, Roll: 9.8
Heading: 138.2, Pitch: 10.1, Roll: 9.8
Heading: 134.8, Pitch: 6.7, Roll: 3.5
Heading: 134.8, Pitch: 6.7, Roll: 3.5
Heading: 124.9, Pitch: 19.6, Roll: 5.4
Heading: 124.9, Pitch: 19.6, Roll: 5.4
Heading: 122.2, Pitch: 13.3, Roll: 9
Heading: 122.2, Pitch: 13.3, Roll: 9
Heading: 127.6, Pitch: 5.5, Roll: 7.5
Heading: 127.6, Pitch: 5.5, Roll: 7.5
Heading: 125.2, Pitch: 11.2, Roll: 14
Heading: 125.2, Pitch: 11.2, Roll: 14
Heading: 128.3, Pitch: 14.9, Roll: 7.5
